qid,retriever,text,search_text,figure_question,figure_in_top_k,figure_rank,section_in_top_k,terms_in_top_k
Q01,bm25,full,What types of services did offer?,False,,,True,1.0
Q01,dense,full,What types of services did offer?,False,,,True,1.0
Q01,hybrid,full,What types of services did offer?,False,,,True,1.0
Q01,bm25,trimmed,What types of services did offer?,False,,,False,0.4
Q01,dense,trimmed,What types of services did offer?,False,,,True,1.0
Q01,hybrid,trimmed,What types of services did offer?,False,,,True,0.2
Q01,bm25,shipped,What types of services did offer?,False,,,False,0.4
Q01,dense,shipped,What types of services did offer?,False,,,True,1.0
Q01,hybrid,shipped,What types of services did offer?,False,,,True,1.0
Q02,bm25,full,What services did provide?,False,,,True,1.0
Q02,dense,full,What services did provide?,False,,,True,1.0
Q02,hybrid,full,What services did provide?,False,,,True,1.0
Q02,bm25,trimmed,What services did provide?,False,,,True,1.0
Q02,dense,trimmed,What services did provide?,False,,,True,0.4
Q02,hybrid,trimmed,What services did provide?,False,,,True,0.4
Q02,bm25,shipped,What services did provide?,False,,,True,1.0
Q02,dense,shipped,What services did provide?,False,,,True,1.0
Q02,hybrid,shipped,What services did provide?,False,,,True,1.0
Q03,bm25,full,What was total value of Accounts Payable at the end?,True,False,,True,
Q03,dense,full,What was total value of Accounts Payable at the end?,True,True,8.0,True,
Q03,hybrid,full,What was total value of Accounts Payable at the end?,True,False,20.0,True,
Q03,bm25,trimmed,What was total value of Accounts Payable at the end?,True,False,13.0,True,
Q03,dense,trimmed,What was total value of Accounts Payable at the end?,True,False,20.0,True,
Q03,hybrid,trimmed,What was total value of Accounts Payable at the end?,True,True,5.0,True,
Q03,bm25,shipped,What was total value of Accounts Payable at the end?,True,False,13.0,True,
Q03,dense,shipped,What was total value of Accounts Payable at the end?,True,True,8.0,True,
Q03,hybrid,shipped,What was total value of Accounts Payable at the end?,True,True,2.0,True,
Q04,bm25,full,What was iPhone net sales?,True,False,11.0,True,
Q04,dense,full,What was iPhone net sales?,True,True,2.0,True,
Q04,hybrid,full,What was iPhone net sales?,True,True,5.0,True,
Q04,bm25,trimmed,What was iPhone net sales?,True,True,3.0,True,
Q04,dense,trimmed,What was iPhone net sales?,True,True,1.0,True,
Q04,hybrid,trimmed,What was iPhone net sales?,True,True,2.0,True,
Q04,bm25,shipped,What was iPhone net sales?,True,True,3.0,True,
Q04,dense,shipped,What was iPhone net sales?,True,True,2.0,True,
Q04,hybrid,shipped,What was iPhone net sales?,True,True,3.0,True,
Q05,bm25,full,What were the adverse macroeconomic conditions that could negatively impact demand for its products and services?,False,,,True,1.0
Q05,dense,full,What were the adverse macroeconomic conditions that could negatively impact demand for its products and services?,False,,,True,1.0
Q05,hybrid,full,What were the adverse macroeconomic conditions that could negatively impact demand for its products and services?,False,,,True,1.0
Q05,bm25,trimmed,What were the adverse macroeconomic conditions that could negatively impact demand for its products and services?,False,,,True,1.0
Q05,dense,trimmed,What were the adverse macroeconomic conditions that could negatively impact demand for its products and services?,False,,,True,1.0
Q05,hybrid,trimmed,What were the adverse macroeconomic conditions that could negatively impact demand for its products and services?,False,,,True,1.0
